,Title,Published_date,Views,Likes,Comments,published_date,Month
85,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19,130626,5972,494,2020-12-19,Dec
86,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),2020-12-10,10541,390,136,2020-12-10,Dec
87,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07,22984,716,328,2020-12-07,Dec
88,7 Things to Look For in a Masters For Data Science (feat. @TinaHuang1),2020-11-20,25725,797,167,2020-11-20,Nov
89,6 Lessons from #66DaysOfData,2020-11-13,6660,341,95,2020-11-13,Nov
90,100K Channel Update + AMA Stream!,2020-11-12,2317,127,24,2020-11-12,Nov
91,Find a Data Science Project With These 3 Techniques,2020-11-06,15986,697,105,2020-11-06,Nov
92,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30,24734,643,156,2020-10-30,Oct
93,git for Data Science Made Simple... (Hopefully),2020-10-23,17363,809,92,2020-10-23,Oct
94,The PODCAST you might have asked for?,2020-10-19,2074,94,44,2020-10-19,Oct
95,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16,6622,445,113,2020-10-16,Oct
96,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14,13071,381,48,2020-10-14,Oct
97,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12,6332,141,62,2020-10-12,Oct
98,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09,9839,516,81,2020-10-09,Oct
99,Sh*t Data Scientists Say (Parody),2020-10-05,9233,569,143,2020-10-05,Oct
100,5 Proven Strategies to Break into a Data Science Job,2020-10-02,8539,366,93,2020-10-02,Oct
101,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30,6990,287,61,2020-09-30,Sep
102,Data Science Resume Round-Up With @TinaHuang1  - Episode 1,2020-09-28,11039,285,69,2020-09-28,Sep
103,5 Essential Data Science Projects for Your Portfolio,2020-09-26,69104,2996,208,2020-09-26,Sep
104,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23,5103,194,66,2020-09-23,Sep
105,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21,10255,413,58,2020-09-21,Sep
106,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18,7275,247,34,2020-09-18,Sep
107,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16,5051,193,56,2020-09-16,Sep
108,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14,4056,156,35,2020-09-14,Sep
109,The 5 Pillars of Success I Live By,2020-09-11,10061,870,152,2020-09-11,Sep
110,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,1876,78,25,2020-09-09,Sep
111,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07,3931,158,43,2020-09-07,Sep
112,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,11473,726,142,2020-09-04,Sep
113,How She Dominated the FAANG Data Science Interview  (@TinaHuang1 ) - KNN EP. 11,2020-09-02,17693,565,89,2020-09-02,Sep
114,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31,17011,779,93,2020-08-31,Aug
115,Why I'm Starting Data Science Over Again.,2020-08-29,50529,2603,452,2020-08-29,Aug
116,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26,14726,614,76,2020-08-26,Aug
117,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24,12255,444,54,2020-08-24,Aug
118,Don't Buy My Course..,2020-08-21,7309,356,148,2020-08-21,Aug
119,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19,28669,1104,166,2020-08-19,Aug
120,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17,3177,127,40,2020-08-17,Aug
121,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14,6228,535,108,2020-08-14,Aug
122,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12,4839,182,39,2020-08-12,Aug
123,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10,10495,344,53,2020-08-10,Aug
124,The Plagiarism Problem in Data Science,2020-08-07,13000,630,147,2020-08-07,Aug
125,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05,14165,597,89,2020-08-05,Aug
126,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03,4808,186,56,2020-08-03,Aug
127,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31,10963,572,90,2020-07-31,Jul
128,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,2293,115,34,2020-07-30,Jul
129,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27,5483,251,112,2020-07-27,Jul
130,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,8116,246,200,2020-07-24,Jul
131,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22,1839,98,27,2020-07-22,Jul
132,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20,27916,557,90,2020-07-20,Jul
133,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17,277140,6405,397,2020-07-17,Jul
134,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16,29543,1103,120,2020-07-16,Jul
135,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13,3559,135,50,2020-07-13,Jul
136,The Best Computer for Data Science Beginners,2020-07-10,35430,817,157,2020-07-10,Jul
137,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,6068,228,82,2020-07-08,Jul
138,Critiquing MY OWN Data Science Resume,2020-07-06,12417,392,88,2020-07-06,Jul
139,Where to Start Learning Data Science,2020-07-03,18279,772,126,2020-07-03,Jul
140,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01,4001,196,37,2020-07-01,Jul
141,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29,4489,176,54,2020-06-29,Jun
142,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26,15568,542,79,2020-06-26,Jun
143,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22,2363,82,40,2020-06-22,Jun
144,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20,2375,139,49,2020-06-20,Jun
145,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15,4245,166,46,2020-06-15,Jun
146,Why You're Struggling to Learn Data Science,2020-06-12,15089,1008,160,2020-06-12,Jun
147,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08,10692,328,70,2020-06-08,Jun
148,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05,22224,659,147,2020-06-05,Jun
149,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01,5664,157,53,2020-06-01,Jun
150,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29,63275,2025,262,2020-05-29,May
151,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25,20905,488,81,2020-05-25,May
152,Different Data Science Roles Explained (by a Data Scientist),2020-05-22,51827,1850,176,2020-05-22,May
153,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18,11139,178,55,2020-05-18,May
154,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15,109525,3927,192,2020-05-15,May
155,10000 Subscriber and 100th Video Special (Data Science),2020-05-13,3093,146,115,2020-05-13,May
156,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11,4407,153,74,2020-05-11,May
157,How I Would Learn Data Science (If I Had to Start Over),2020-05-08,1379177,48780,2002,2020-05-08,May
158,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04,5319,191,42,2020-05-04,May
159,What You Need to Know for a Data Science Internship,2020-05-01,19086,1097,61,2020-05-01,May
160,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27,8180,347,54,2020-04-27,Apr
161,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24,14930,460,103,2020-04-24,Apr
162,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22,3033,85,24,2020-04-22,Apr
163,5 Tips for Crushing the Work From Home Life,2020-04-20,5322,200,38,2020-04-20,Apr
164,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17,17321,659,125,2020-04-17,Apr
165,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15,24573,663,97,2020-04-15,Apr
166,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13,37481,807,143,2020-04-13,Apr
167,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10,63129,1732,207,2020-04-10,Apr
168,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08,67735,1580,261,2020-04-08,Apr
169,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06,101292,2982,612,2020-04-06,Apr
170,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03,150582,4174,164,2020-04-03,Apr
171,When Data Science Goes Wrong,2020-03-30,1781,105,32,2020-03-30,Mar
172,How to ULTRALEARN Data Science,2020-03-27,60646,3783,167,2020-03-27,Mar
173,Why Right NOW is a Great Time to Learn Data Science,2020-03-23,4299,265,50,2020-03-23,Mar
174,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20,12137,448,45,2020-03-20,Mar
175,The Secret Data Scientists Don't Want You to Know,2020-03-16,10467,1126,105,2020-03-16,Mar
176,The 5 Stages of Learning Data Science,2020-03-13,17136,1281,78,2020-03-13,Mar
177,Can You Learn Data Science Without a Computer?,2020-03-11,1477,104,14,2020-03-11,Mar
178,The Best Free Data Science Courses Nobody is Talking About,2020-03-09,335909,20824,616,2020-03-09,Mar
179,The Data Science Projects that Got Me a Job,2020-03-06,39346,1365,41,2020-03-06,Mar
180,How to Integrate Data Science into Your Business,2020-03-02,3322,125,18,2020-03-02,Mar
181,The Problem with Data Science,2020-02-28,3730,154,21,2020-02-28,Feb
182,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24,1123,46,16,2020-02-24,Feb
183,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21,111265,2217,98,2020-02-21,Feb
184,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17,310013,17224,515,2020-02-17,Feb
185,Data Science Advice for College Students,2020-02-14,68186,1946,197,2020-02-14,Feb
186,Avoid These Data Science Resume Mistakes!,2020-02-10,27013,1199,58,2020-02-10,Feb
187,Data Science Explained with ... Cooking?,2020-02-07,4859,296,47,2020-02-07,Feb
188,The 4 Types of Sports Analytics Projects,2020-02-03,26522,893,60,2020-02-03,Feb
189,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31,556,18,13,2020-01-31,Jan
190,How I Learned Data Science,2020-01-27,92572,2649,210,2020-01-27,Jan
191,What is Sports Analytics Really?,2020-01-20,19185,573,73,2020-01-20,Jan
192,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18,107616,3060,585,2020-01-18,Jan
193,How To Learn Programming for Data Science [3 Steps],2020-01-13,29469,1958,96,2020-01-13,Jan
194,Data Science Fundamentals: SQL Queries,2020-01-10,5989,207,34,2020-01-10,Jan
195,Questions You Should Ask Your Data Science Interviewers,2020-01-06,2987,147,14,2020-01-06,Jan
196,The 9 Books That Changed My Perspective in 2019,2020-01-03,3314,180,25,2020-01-03,Jan
197,The Data Science Interview: What to Expect,2019-12-30,8097,370,32,2019-12-30,Dec
198,5 Data Science Resolutions for 2020,2019-12-27,473,25,12,2019-12-27,Dec
199,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23,15255,537,89,2019-12-23,Dec
200,Collision Course: Sports Betting + Data Science,2019-12-20,15294,454,26,2019-12-20,Dec
201,3 Reasons You Should NOT Become a Data Scientist,2019-12-16,100135,2932,207,2019-12-16,Dec
202,5 Sports Analytics Books to Get You Started,2019-12-13,9782,368,57,2019-12-13,Dec
203,Math Needed for Mastering Data Science,2019-12-09,54917,2815,225,2019-12-09,Dec
204,The 5 Stages of Data Science Adoption,2019-12-06,1263,67,17,2019-12-06,Dec
205,How YOU Can Land a Sports Analytics Job,2019-12-02,64254,2876,225,2019-12-02,Dec
206,Data Science Fundamentals: Linear Regression,2019-11-29,6037,164,41,2019-11-29,Nov
207,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25,952,47,12,2019-11-25,Nov
208,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22,5522,252,26,2019-11-22,Nov
209,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18,45165,1725,80,2019-11-18,Nov
210,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11,5867,136,31,2019-11-11,Nov
211,Why Selling Is An Important Data Science Skill,2019-11-04,1577,77,13,2019-11-04,Nov
